Time,Action,Data
2018/04/26 13:43:41,Create,"{u'description': u'Explore a new world and answer short questions with a partner (~ 15 minutes)', u'title': u'Language experiment (Crittun EX0)', u'url': u'https://rxdhawkins.me:8882/mp-game-3/forms/consent.html', u'assignment_duration': u'2 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 95}, u'frame_height': 650, u'keywords': u'language research stanford fun cognitive science university teaching', u'auto_approval_delay': u'5 minutes', u'reward': 1.2}"
2018/04/26 13:48:24,Create,"{u'description': u'Explore a new world and answer short questions with a partner (~ 15 minutes)', u'title': u'Language experiment (Crittun EX0)', u'url': u'https://rxdhawkins.me:8882/mp-game-3/forms/consent.html', u'assignment_duration': u'2 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 95}, u'frame_height': 650, u'keywords': u'language research stanford fun cognitive science university teaching', u'auto_approval_delay': u'5 minutes', u'reward': 1.2}"
2018/04/26 14:41:31,Add,2 assignments
2018/04/26 14:46:08,Expire,
2018/04/26 15:23:09,Add,4 hours
2018/04/26 19:59:05,Expire,
2018/04/27 08:39:50,Add,6 hours
2018/04/27 08:39:57,Add,4 hours
2018/04/27 09:17:22,Expire,
