workerid,OS,screenH,screenW,Browser
0,"""Windows""",1080,1920,"""Chrome"""
1,"""Windows""",1080,1920,"""Chrome"""
2,"""Mac""",900,1440,"""Chrome"""
3,"""Windows""",1080,1920,"""Chrome"""
4,"""Windows""",768,1366,"""Chrome"""
5,"""Windows""",864,1536,"""Chrome"""
6,"""Windows""",768,1366,"""Chrome"""
7,"""Windows""",1080,1920,"""Chrome"""
8,"""Windows""",1024,1280,"""Chrome"""
9,"""Windows""",1080,1920,"""Chrome"""
10,"""Windows""",768,1360,"""Firefox"""
11,"""Mac""",800,1280,"""Firefox"""
12,"""Windows""",1080,1920,"""Chrome"""
13,"""Windows""",1080,1920,"""Chrome"""
14,"""Windows""",1080,1920,"""Chrome"""
15,"""Windows""",768,1366,"""Chrome"""
16,"""Windows""",1080,1920,"""Chrome"""
17,"""Windows""",768,1366,"""Firefox"""
18,"""Windows""",768,1366,"""Chrome"""
